,Jurisdiction of Occurrence,MMWR Year,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",Population
448,Washington,2021,68550.0,61632.0,422.0,13568.0,2229.0,3647.0,328.0,2643.0,827.0,196.0,612.0,12735.0,3190.0,6132.0,5385.0,7803355.0
449,Washington,2022,49678.0,44938.0,459.0,9731.0,1545.0,2629.0,297.0,2049.0,645.0,366.0,1189.0,9431.0,2390.0,3447.0,2471.0,7765004.0
450,West Virginia,2014,21981.0,20031.0,102.0,4859.0,794.0,465.0,213.0,1592.0,20.0,285.0,416.0,4678.0,1078.0,0.0,0.0,1849489.0
451,West Virginia,2015,22071.0,20024.0,79.0,4802.0,767.0,602.0,303.0,1608.0,33.0,265.0,428.0,4507.0,1045.0,0.0,0.0,1842050.0
452,West Virginia,2016,21863.0,19564.0,45.0,4560.0,839.0,689.0,168.0,1569.0,32.0,264.0,411.0,4543.0,969.0,0.0,0.0,1831023.0
453,West Virginia,2017,22480.0,19950.0,33.0,4521.0,842.0,675.0,204.0,1678.0,10.0,208.0,422.0,4672.0,1015.0,0.0,0.0,1817004.0
454,West Virginia,2018,22843.0,20507.0,75.0,4571.0,918.0,715.0,285.0,1681.0,11.0,296.0,311.0,4881.0,954.0,0.0,0.0,1804291.0
455,West Virginia,2019,22817.0,20432.0,73.0,4527.0,960.0,762.0,193.0,1660.0,31.0,223.0,246.0,4948.0,979.0,0.0,0.0,1792147.0
456,West Virginia,2020,26053.0,23149.0,55.0,4714.0,1084.0,885.0,259.0,1658.0,11.0,411.0,141.0,5154.0,911.0,1564.0,1415.0,1793716.0
457,West Virginia,2021,28665.0,25624.0,69.0,4712.0,1164.0,814.0,197.0,1534.0,37.0,591.0,402.0,5346.0,999.0,3871.0,3406.0,1787788.0
